trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,tilt,participant,session,date,expName,psychopyVersion,frameRate
68,0,68,0,135.9295628,136.9296243,136.9296243,down,0,0.7845167,0,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
69,0,69,0,137.7459413,138.7459403,138.7459403,down,1,0.7721141,1,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
70,0,70,0,139.5457481,140.5458071,140.5458071,down,1,0.6288625,3,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
71,0,71,0,141.1956419,142.1956698,142.1956698,down,0,0.9350569,0,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
72,0,72,0,143.1623531,144.1625336,144.1625336,down,1,0.5208882,3,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
73,0,73,0,144.7122996,145.7124548,145.7124548,up,1,0.6893854,0,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
74,0,74,0,146.428897,147.4290433,147.4290433,down,1,0.5842501,3,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
75,0,75,0,148.0453885,149.045363,149.045363,down,1,0.8325683,-5,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
76,0,76,0,149.8953188,150.8950446,150.8950446,down,1,0.8765549,-3,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
77,0,77,0,151.7952025,152.795133,152.795133,up,1,0.4384471,0,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
78,0,78,0,153.2619514,154.2619126,154.2619126,down,1,0.7384395,-3,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
79,0,79,0,155.0285104,156.0284778,156.0284778,up,1,0.4311623,0,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
80,0,80,0,156.478274,157.4784782,157.4784782,down,1,0.5267063,3,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
81,0,81,0,158.0283785,159.0279838,159.0279838,down,1,0.5088614,4,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
82,0,82,0,159.5617168,160.5613922,160.5613922,down,1,0.5231601,3,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
83,0,83,0,161.1113589,162.1113134,162.1113134,down,0,1.1405796,0,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
84,0,84,0,163.2778936,164.2779818,164.2779818,down,0,0.9001792,0,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
85,0,85,0,165.1944785,166.1943905,166.1943905,up,1,0.3989739,0,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
86,0,86,0,166.6112695,167.6111166,167.6111166,up,1,0.4237434,0,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
87,0,87,0,168.060851,169.0609894,169.0609894,up,1,0.4941822,0,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
88,0,88,0,169.5775679,170.5778142,170.5778142,down,1,0.9936253,-2,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
89,0,89,0,171.5940893,172.5936655,172.5936655,up,1,0.7131283,0,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
90,0,90,0,173.3276165,174.3274574,174.3274574,down,1,0.5065581,-5,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
91,0,91,0,174.8606795,175.8606274,175.8606274,up,1,0.7838475,0,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
92,0,92,0,176.677145,177.6771322,177.6771322,up,1,0.4999791,0,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
93,0,93,0,178.1936719,179.1938254,179.1938254,up,1,0.6137356,0,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
94,0,94,0,179.8270765,180.8269731,180.8269731,up,1,0.4654029,0,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
95,0,95,0,181.3103685,182.3103084,182.3103084,down,1,0.5726687,-5,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
96,0,96,0,182.910224,183.9102014,183.9102014,down,1,0.5928475,3,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
97,0,97,0,184.5268954,185.5268105,185.5268105,up,1,0.6094445,0,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
98,0,98,0,186.1600349,187.1599285,187.1599285,up,0,0.4058311,1,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
99,0,99,0,187.5933882,188.5931673,188.5931673,up,1,0.4094904,0,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
